PlateID,LichenID,TeamID,Thallus_location,Infected,Lichen_mass_mg,Frac_extract,Init_vol_ml,Dilution_factor,Plate_vol_ml,Incubation_days,Incubation_temp_C,Num_colonies,Num_morphotypes,Notes,Exclude,Verified
W17-T2-L1-P1,W17-T2-L1,W17-1,internal,FALSE,62,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T2-L1-P2,W17-T2-L1,W17-1,internal,TRUE,62,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T21-L1-P1,W17-T21-L1,W17-1,internal,FALSE,66,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T21-L1-P2,W17-T21-L1,W17-1,internal,TRUE,53,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T24-L1-P1,W17-T24-L1,W17-1,external,,22.1,0.8,1,1,0.1,14,22,111,6,,,TRUE
W17-T24-L1-P2,W17-T24-L1,W17-1,internal,,22.1,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T24-L2-P1,W17-T24-L2,W17-1,external,,10,0.8,1,1,0.1,14,22,195,6,,,TRUE
W17-T24-L2-P2,W17-T24-L2,W17-1,internal,,10,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T24-L3-P1,W17-T24-L3,W17-1,external,,20.5,0.8,1,1,0.1,14,22,426,5,,,TRUE
W17-T24-L3-P2,W17-T24-L3,W17-1,internal,,20.5,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T24-L4-P1,W17-T24-L4,W17-1,internal,FALSE,57,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T24-L4-P2,W17-T24-L4,W17-1,internal,TRUE,65,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T36-L1-P1,W17-T36-L1,W17-1,external,,13,0.8,1,1,0.1,14,22,7,1,,,TRUE
W17-T36-L1-P2,W17-T36-L1,W17-1,internal,,13,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T36-L2-P1,W17-T36-L2,W17-1,external,,129,0.8,1,1,0.1,14,22,7,1,,,TRUE
W17-T36-L2-P2,W17-T36-L2,W17-1,internal,,129,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T36-L3-P1,W17-T36-L3,W17-1,external,,5.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T36-L3-P2,W17-T36-L3,W17-1,internal,,5.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T36-L4-P1,W17-T36-L4,W17-1,internal,FALSE,55,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T36-L4-P2,W17-T36-L4,W17-1,internal,TRUE,52,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T37-L1-P1,W17-T37-L1,W17-1,internal,FALSE,52,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T37-L1-P2,W17-T37-L1,W17-1,internal,TRUE,48,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T6-L1-P1,W17-T6-L1,W17-1,internal,FALSE,46,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T6-L1-P2,W17-T6-L1,W17-1,internal,TRUE,53,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T22-L1-P1,W17-T22-L1,W17-2,internal,FALSE,58,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T22-L1-P2,W17-T22-L1,W17-2,internal,TRUE,68,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T25-L1-P1,W17-T25-L1,W17-2,external,,10.8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T25-L1-P2,W17-T25-L1,W17-2,internal,,10.8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T25-L2-P1,W17-T25-L2,W17-2,external,,8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T25-L2-P2,W17-T25-L2,W17-2,internal,,8,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T25-L3-P1,W17-T25-L3,W17-2,external,,21.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T25-L3-P2,W17-T25-L3,W17-2,internal,,21.3,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T25-L4-P1,W17-T25-L4,W17-2,internal,FALSE,47,0.8,1,1,0.1,14,22,0,0,,,
W17-T25-L4-P2,W17-T25-L4,W17-2,internal,TRUE,66,0.8,1,1,0.1,14,22,0,0,,,
W17-T34-L1-P1,W17-T34-L1,W17-2,internal,FALSE,45,0.8,1,1,0.1,14,22,0,0,,,
W17-T34-L1-P2,W17-T34-L1,W17-2,internal,TRUE,55,0.8,1,1,0.1,14,22,0,0,,,
W17-T38-L2-P1,W17-T38-L2,W17-2,external,,5,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T38-L2-P2,W17-T38-L2,W17-2,internal,,5,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T38-L3-P1,W17-T38-L3,W17-2,external,,13.4,0.8,1,1,0.1,14,22,0,0,,,TRUE
W17-T38-L3-P2,W17-T38-L3,W17-2,internal,,13.4,0.8,1,1,0.1,14,22,1,1,,,TRUE
