EcoplateID,TeamID,Sample_1,Sample_2,Sample_3
W17-1-E1,W17-1,W17-T36-L1-P2,W17-T36-L2-P2,W17-T36-L3-P2
W17-1-E2,W17-1,W17-T36-L1-P1,W17-T36-L2-P1,W17-T36-L3-P1
W17-1-E3,W17-1,W17-T24-L1-P1,W17-T24-L2-P1,W17-T24-L3-P1
W17-1-E4,W17-1,W17-T24-L1-P2,W17-T24-L2-P2,W17-T24-L3-P2
W17-1-E5,W17-1,W17-T21-L1-P1,W17-T36-L4-P1,W17-T24-L4-P1
W17-1-E6,W17-1,W17-T6-L1-P1,W17-T37-L1-P1,W17-T2-L1-P1
W17-1-E7,W17-1,W17-T36-L4-P2,W17-T37-L1-P2,W17-T2-L1-P2
W17-1-E8,W17-1,W17-T24-L4-P2,W17-T6-L1-P2,W17-T21-L1-P2
W17-2-E1,W17-2,W17-T38-L1-P1,W17-T38-L2-P1,W17-T38-L3-P1
W17-2-E2,W17-2,W17-T38-L1-P2,W17-T38-L2-P2,W17-T38-L3-P2
W17-2-E3,W17-2,W17-T25-L1-P1,W17-T25-L2-P1,W17-T25-L3-P1
W17-2-E4,W17-2,W17-T25-L1-P2,W17-T25-L2-P2,W17-T25-L3-P2
W17-2-E5,W17-2,W17-T7-L1-P2,W17-T22-L1-P2,W17-T25-L4-P2
W17-2-E6,W17-2,W17-T34-L1-P2,W17-T38-L4-P2,W17-T44-L1-P2
W17-2-E7,W17-2,W17-T7-L1-P1,W17-T22-L1-P1,W17-T25-L4-P1
W17-2-E8,W17-2,W17-T34-L1-P1,W17-T38-L4-P1,W17-T44-L1-P1
W17-3-E1,W17-3,W17-T4-L1-P1,W17-T4-L2-P1,W17-T4-L3-P1
W17-3-E2,W17-3,W17-T4-L1-P2,W17-T4-L2-P2,W17-T4-L3-P2
W17-3-E3,W17-3,W17-T42-L1-P1,W17-T42-L2-P1,W17-T42-L3-P1
W17-3-E4,W17-3,W17-T42-L1-P2,W17-T42-L2-P2,W17-T42-L3-P2
W17-3-E5,W17-3,W17-T18-L1-P2,W17-T40-L1-P2,W17-T10-L1-P2
W17-3-E6,W17-3,W17-T31-L1-P1,W17-T42-L4-P2,W17-T4-L4-P1
W17-3-E7,W17-3,W17-T18-L1-P1,W17-T40-L1-P1,W17-T10-L1-P1
W17-3-E8,W17-3,W17-T31-L1-P2,W17-T42-L4-P1,W17-T4-L4-P2
W17-4-E1,W17-4,W17-T1-L1-P1,W17-T1-L2-P1,W17-T1-L3-P1
W17-4-E2,W17-4,W17-T1-L1-P2,W17-T1-L2-P2,W17-T1-L3-P2
W17-4-E3,W17-4,W17-T19-L1-P1,W17-T19-L2-P1,W17-T19-L3-P1
W17-4-E4,W17-4,W17-T19-L1-P2,W17-T19-L2-P2,W17-T19-L3-P2
W17-4-E5,W17-4,W17-T1-L4-P1,W17-T19-L4-P1,W17-T23-L1-P1
W17-4-E6,W17-4,W17-T33-L1-P1,W17-T39-L1-P1,W17-T45-L1-P1
W17-4-E7,W17-4,W17-T1-L4-P2,W17-T19-L4-P2,W17-T23-L1-P2
W17-4-E8,W17-4,W17-T33-L1-P2,W17-T39-L1-P2,W17-T45-L1-P2
W17-5-E1,W17-5,W17-T15-L1-P1,W17-T15-L2-P1,NONE
W17-5-E2,W17-5,W17-T15-L1-P2,W17-T15-L2-P2,NONE
W17-5-E3,W17-5,W17-T26-L1-P1,W17-T26-L2-P1,W17-T26-L3-P1
W17-5-E4,W17-5,W17-T26-L1-P2,W17-T26-L2-P2,W17-T26-L3-P2
W17-5-E5,W17-5,W17-T15-L4-P1,W17-T15-L4-P2,W17-T35-L1-P1
W17-5-E6,W17-5,W17-T35-L1-P2,W17-T3-L1-P1,W17-T3-L1-P2
W17-5-E7,W17-5,W17-T11-L1-P1,W17-T11-L1-P2,W17-T26-L4-P1
W17-5-E8,W17-5,W17-T26-L4-P2,W17-T20-L1-P1,W17-T20-L1-P2
W17-6-E1,W17-6,W17-T27-L1-P1,W17-T27-L2-P1,W17-T27-L3-P1
W17-6-E2,W17-6,W17-T27-L1-P2,W17-T27-L2-P2,W17-T27-L3-P2
W17-6-E3,W17-6,W17-T16-L1-P1,W17-T16-L2-P1,W17-T16-L3-P1
W17-6-E4,W17-6,NONE,W17-T16-L2-P2,W17-T16-L3-P2
W17-6-E5,W17-6,W17-T8-L1-P1,W17-T8-L1-P2,W17-T12-L1-P1
W17-6-E6,W17-6,W17-T12-L1-P2,W17-T16-L4-P1,W17-T16-L4-P2
W17-6-E7,W17-6,W17-T27-L4-P1,W17-T27-L4-P2,W17-T41-L1-P1
W17-6-E8,W17-6,W17-T41-L1-P2,W17-T46-L1-P1,W17-T46-L1-P1
W17-7-E1,W17-7,W17-T17-L1-P1,W17-T17-L2-P1,W17-T17-L3-P1
W17-7-E2,W17-7,W17-T17-L1-P2,W17-T17-L2-P2,W17-T17-L3-P2
W17-7-E3,W17-7,W17-T32-L1-P1,W17-T32-L2-P1,W17-T32-L3-P1
W17-7-E4,W17-7,W17-T32-L1-P2,W17-T32-L2-P2,W17-T32-L3-P2
W17-7-E5,W17-7,W17-T17-L4-P2,W17-T9-L1-P2,W17-T32-L4-P2
W17-7-E6,W17-7,W17-T13-L1-P2,W17-T29-L1-P2,W17-T47-L1-P2
W17-7-E7,W17-7,W17-T17-L4-P1,W17-T9-L1-P1,W17-T32-L4-P1
W17-7-E8,W17-7,W17-T13-L1-P1,W17-T29-L1-P1,W17-T47-L1-P1
W17-8-E1,W17-8,W17-T54-L1-P1,W17-T54-L2-P1,W17-T54-L3-P1
W17-8-E2,W17-8,W17-T54-L1-P2,W17-T54-L2-P2,W17-T54-L3-P2
W17-8-E3,W17-8,W17-T49-L1-P1,W17-T49-L2-P1,W17-T49-L3-P1
W17-8-E4,W17-8,W17-T49-L1-P2,W17-T49-L2-P2,W17-T49-L3-P2
W17-8-E5,W17-8,W17-T14-L1-P1,W17-T30-L1-P1,W17-T43-L1-P1
W17-8-E6,W17-8,W17-T54-L4-P1,W17-T49-L4-P1,W17-T48_L1-P1
W17-8-E7,W17-8,W17-T14-L1-P2,W17-T30-L1-P2,W17-T43-L1-P2
W17-8-E8,W17-8,W17-T54-L4-P2,W17-T49-L4-P2,W17-T48-L1-P2
