"TeamID","PlateID","EcoplateID","Sample.ID","Read.ID","Plate","Day","DayNumber","Pyruvic.Acid.Methyl.Ester","Tween.40","Tween.80","alpha.Cyclodextrin","Glycogen","D.Cellobiose","alpha.D.Lactose","beta.Methyl.D.Glucoside","D.Xylose","i.Erythritol","D.Mannitol","N.Acetyl.D.Glucosamine","D.Glucosaminic.Acid","Glucose.1.Phosphate","alpha.Glycerol.Phosphate","D.Galactonic.Acid.gamma.Lactone","D.Galacturonic.Acid","X2.Hydroxy.Benzoic.Acid","X4.Hydroxy.Benzoic.Acid","gamma.Hydroxybutyric.Acid","Itaconic.Acid","alpha.Ketobutyric.Acid","D.Malic.Acid","L.Arginine","L.Asparagine","L.Phenylalanine","L.Serine","L.Threonine","Glycyl.L.Glutamic.Acid","Phenylethyl.amine","Putrescine","LichenID","Thallus_location","Infected","Lichen_mass_mg","Frac_extract","Init_vol_ml","Dilution_factor","Plate_vol_ml","Incubation_days","Incubation_temp_C","Num_colonies","Num_morphotypes","Notes","Exclude","Verified"
"W17-1","W17-T2-L1-P1","W17-1-E6","Sample_3","Team-1_Plate-6_Day-11","Plate-6","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA,0.049,0.004,0.181,NA,NA,NA,NA,NA,"W17-T2-L1","internal",FALSE,62,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T2-L1-P2","W17-1-E7","Sample_3","Team-1_Plate-7_Day-11","Plate-7","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,NA,NA,NA,0.268,NA,NA,NA,NA,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,"W17-T2-L1","internal",TRUE,62,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T21-L1-P1","W17-1-E5","Sample_1","Team-1_Plate-5_Day-11","Plate-5","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA,0.043,0.057,0.005,NA,NA,NA,NA,NA,"W17-T21-L1","internal",FALSE,66,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T21-L1-P2","W17-1-E8","Sample_3","Team-1_Plate-8_Day-11","Plate-8","Day-11",11,0.54,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,0.474,NA,NA,NA,NA,NA,NA,"W17-T21-L1","internal",TRUE,53,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T24-L1-P1","W17-1-E3","Sample_1","Team-1_Plate-3_Day-12","Plate-3","Day-12",12,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,NA,NA,NA,0.009,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,"W17-T24-L1","external",NA,22.1,0.8,1,1,0.1,14,22,111,6,"",NA,TRUE
"W17-1","W17-T24-L1-P2","W17-1-E4","Sample_1","Team-1_Plate-4_Day-12","Plate-4","Day-12",12,1.276,0.627,0.841,NA,0.397,0.545,1.023,0.37,0.554,0.714,0.563,0.387,0.404,NA,NA,0.002,NA,NA,0.052,NA,NA,0.064,0.918,0.199,0.548,NA,0.221,0.044,NA,NA,NA,"W17-T24-L1","internal",NA,22.1,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T24-L2-P1","W17-1-E3","Sample_2","Team-1_Plate-3_Day-12","Plate-3","Day-12",12,NA,0.128,NA,NA,NA,NA,NA,NA,NA,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T24-L2","external",NA,10,0.8,1,1,0.1,14,22,195,6,"",NA,TRUE
"W17-1","W17-T24-L2-P2","W17-1-E4","Sample_2","Team-1_Plate-4_Day-12","Plate-4","Day-12",12,1.144,0.613,1.132,NA,NA,0.474,NA,1.683,2.352,0.138,2.098,1.841,0.745,0.626,0.034,1.709,1.22,0.074,0.056,NA,0.001,0.002,0.481,0.159,2.206,0.087,0.302,NA,0.209,NA,0.399,"W17-T24-L2","internal",NA,10,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T24-L3-P1","W17-1-E3","Sample_3","Team-1_Plate-3_Day-12","Plate-3","Day-12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T24-L3","external",NA,20.5,0.8,1,1,0.1,14,22,426,5,"",NA,TRUE
"W17-1","W17-T24-L3-P2","W17-1-E4","Sample_3","Team-1_Plate-4_Day-12","Plate-4","Day-12",12,1.09,0.473,0.482,NA,NA,0.291,0.506,1.083,1.378,NA,1.772,0.551,0.622,NA,NA,0.954,1.083,NA,NA,NA,0.862,NA,0.461,0.903,1.388,0.403,0.31,NA,0.244,NA,NA,"W17-T24-L3","internal",NA,20.5,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T24-L4-P1","W17-1-E5","Sample_3","Team-1_Plate-5_Day-11","Plate-5","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,NA,0.048,0.02,0.006,NA,NA,NA,NA,NA,"W17-T24-L4","internal",FALSE,57,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T24-L4-P2","W17-1-E8","Sample_1","Team-1_Plate-8_Day-11","Plate-8","Day-11",11,NA,NA,NA,NA,NA,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W17-T24-L4","internal",TRUE,65,0.8,1,1,0.1,14,22,0,0,"",NA,TRUE
"W17-1","W17-T36-L1-P1","W17-1-E2","Sample_1","Team-1_Plate-2_Day-12","Plate-2","Day-12",12,0.694,1.136,0.312,NA,0.055,0.577,0.94,0.707,0.493,0.396,0.622,0.951,0.505,NA,NA,0.005,0.462,NA,0.031,NA,NA,0.127,0.781,0.314,0.358,0.155,0.139,NA,NA,NA,NA,"W17-T36-L1","external",NA,13,0.8,1,1,0.1,14,22,7,1,"",NA,TRUE
