TaxonID,Group,Class,Order,Family,Genus,Species
Cladosporium_sp1,fungus,Dothideomycetes,Capnodiales,Davidiellaceae,Cladosporium,Cladosporium_sp1
Dothideomycetes_sp1,fungus,Dothideomycetes,,,,Dothideomycetes_sp1
Dothideomycetes_sp2,fungus,Dothideomycetes,,,,Dothideomycetes_sp2
Pleosporales_sp1,fungus,Dothideomycetes,Pleosporales,,,Pleosporales_sp1
Nigrospora_sp1,fungus,Pezizomycetes,Trichosphaeriales,,Nigrospora,Nigrospora_sp1
Peziza_arvernensis,fungus,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_arvernensis
Peziza_sp1,fungus,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_sp1
Peziza_varia,fungus,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_varia
Pezizacaea_sp1_gen2,fungus,Pezizomycetes,Pezizales,Pezizaceae,,Pezizacaea_sp1
Pezizaceae_sp1_gen1,fungus,Pezizomycetes,Pezizales,Pezizaceae,,Pezizaceae_sp1
Pezizales_sp1,fungus,Pezizomycetes,Pezizales,,,Pezizales_sp1
Pezizomycetes_sp1_gen1,fungus,Pezizomycetes,,,,Pezizomycetes_sp1
Pezizomycetes_sp1_gen2,fungus,Pezizomycetes,,,,Pezizomycetes_sp1
Pezizomycetes_sp2,fungus,Pezizomycetes,,,,Pezizomycetes_sp2
Pezizomycetes_sp3,fungus,Pezizomycetes,,,,Pezizomycetes_sp3
Pezizomycetes_sp4,fungus,Pezizomycetes,,,,Pezizomycetes_sp4
Pezizomycetes_sp5,fungus,Pezizomycetes,,,,Pezizomycetes_sp5
Pithya_sp1,fungus,Pezizomycetes,Pezizales,Sacroscyphaceae,Pithya,Pithya_sp1
Sarcosomataceae_sp1,fungus,Pezizomycetes,Pezizales,Sarcosomataceae,,Sarcasomataceae_sp1
Chaetomium_sp1,fungus,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_sp1
Graphostroma_sp1,fungus,Sordariomycetes,Xylariales,Graphostromataceae,Graphostroma,Graphostroma_sp1
Lasiosphaeris_sp1,fungus,Sordariomycetes,,,Lasiosphaeris,Lasiosphaeris_sp1
Nemania_serpens,fungus,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_serpens
Nemania_serpens_gen1,fungus,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_serpens
Nemania_serpens_gen2,fungus,Sordariomycetes,Xylariales,Xylariaceae,Nemania,Nemania_serpens
Sordariomycetes_sp1_gen1,fungus,Sordariomycetes,,,,Sordariomycetes_sp1
Sordariomycetes_sp1_gen2,fungus,Sordariomycetes,,,,Sordariomycetes_sp1
Sordariomycetes_sp1_gen3,fungus,Sordariomycetes,,,,Sordariomycetes_sp1
Sordariomycetes_sp1_gen4,fungus,Sordariomycetes,,,,Sordariomycetes_sp1
Sordariomycetes_sp1_gen5,fungus,Sordariomycetes,,,,Sordariomycetes_sp1
Sordariomycetes_sp2,fungus,Sordariomycetes,,,,Sordariomycetes_sp2
Sordariomycetes_sp3,fungus,Sordariomycetes,,,,Sordariomycetes_sp3
Sordariomycetes_sp4,fungus,Sordariomycetes,,,,Sordariomycetes_sp4
Sordariomycetes_sp5_gen1,fungus,Sordariomycetes,,,,Sordariomycetes_sp5
Xylaria_sp1,fungus,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp1
Xylariaceae_sp1,fungus,Sordariomycetes,Xylariales,Xylariaceae,,Xylariaceae_sp1
Trebouxia_decolorans_SW-48a,alga,,,,,Trebouxia_decolorans
Trebouxia_decolorans_SW-09b,alga,,,,,Trebouxia_decolorans
Trebouxia_decolorans_SW-45a_SW-16b,alga,,,,,Trebouxia_decolorans
Trebouxia_decolorans_SW-10b,alga,,,,,Trebouxia_decolorans
Trebouxia_decolorans_SW-09b,alga,,,,,Trebouxia_decolorans
Davidiella_tassiana,fungus,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana
Sporormiaceae_sp1,fungus,Dothideomycetes,Pleosporales,Sporormiaceae,,Sporormiaceae_sp1
Chromelosporium_sp1_gen1,fungus,Pezizomycetes,Pezizales,Pezizaceae,Chromelosporium,Chromelosporium_sp1
Chromelosporium_sp1_gen2,fungus,Pezizomycetes,Pezizales,Pezizaceae,Chromelosporium,Chromelosporium_sp1
Peziza_badioconfusa,fungus,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza_badioconfusa
Pezizaceae_sp2,fungus,Pezizomycetes,Pezizales,Pezizaceae,,Pezizaceae_sp2
Tricharina_praecox_gen1,fungus,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,Tricharina_praecox
Tricharina_praecox_gen2,fungus,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,Tricharina_praecox
Plectania_sp1,fungus,Pezizomycetes,Pezizales,Sarcosomataceae,Plectania,Plectania_sp1
Coniochaeta_sp1,fungus,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta_sp1
Fimetariella_sp1,fungus,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Fimetariella,Fimetariella_sp1
Biscogniauxia_sp1,fungus,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,Biscogniauxia_sp1
