"Site","Canopy_openness_pct","LAI_75deg","Group","UTM_E","UTM_N"
5,62.41,0.29,1,567638.9372,4140406.423
8,60.28,0.29,5,567763.0402,4140255.632
9,71.68,0.12,3,567771.9762,4140222.287
10,76.39,0.09,10,567772.4572,4140215.059
11,58.11,0.36,11,567713.2671,4140047.257
13,41.91,0.76,7,567706.3661,4140040.824
15,57.49,0.4,9,567703.9391,4140036.312
18,47.64,0.62,2,567643.5581,4140004.198
19,25.59,1.38,3,567727.3731,4139962.624
28,48.71,0.61,7,567558.0292,4140407.781
37,75.38,0.07,9,567769.5892,4140265.805
38,58.71,0.37,8,567775.3692,4140276.893
45,42.81,0.73,1,567632.7482,4140468.478
47,15.67,1.83,2,567613.3602,4140437.648
49,43.74,0.67,3,567573.8642,4140409.489
51,22.41,1.51,4,567503.8071,4140428.469
52,32.4,1.06,5,567487.9361,4140409.008
54,29.6,1.19,6,567518.3881,4140264.984
58,36.06,1.03,7,567479.1631,4140323.891
61,NA,NA,10,567551.8256,4140409.14
65,45.88,0.72,11,567515.0229,4140325.883
67,29.61,1.16,8,567492.2913,4140403.553
72,30.28,1.2,6,567663.3517,4140290.451
74,28.04,1.35,2,567754.8545,4140285.048
75,25.93,1.32,10,567817.7776,4140325
76,31.15,1.15,6,567814.0995,4140316.332
79,72.15,0.13,8,567711.8851,4140091.709
87,20.47,1.85,5,567544.8974,4140214.953
92,66.55,0.2,6,567676.3416,4140027.166
94,25.46,1.37,4,567813.1383,4140328.35
95,51.15,0.52,11,567773.6237,4140284.14
97,45.26,0.7,8,567681.4202,4140409.516
98,40.2,0.77,9,567620.7376,4140440.804
99,33.04,1,1,567545.0145,4140410.379
103,28.58,1.17,10,567494.7141,4140390.564
104,36.58,0.91,11,567499.2024,4140393.318
106,57.46,0.4,2,567566.0629,4140404.466
108,53.13,0.56,3,567753.0827,4140297.643
109,48.09,0.58,4,567719.7715,4140053.519
110,52.65,0.54,9,567603.6361,4139999.462
111,32.07,1.08,5,567598.5878,4139988.354
112,29.93,1.17,1,567654.2459,4140006.123
114,63.93,0.25,7,567638.5989,4140301.223
43,70,0.2,4,567660.5,4140415
