"Site","Date_time","Temp","RH","Dewpoint"
"5","2018-01-19 00:00:00 -0800",9,98.5,8.8
"5","2018-01-19 00:10:00 -0800",9,98.5,8.8
"5","2018-01-19 00:20:00 -0800",9,98,8.7
"5","2018-01-19 00:30:00 -0800",9,98,8.7
"5","2018-01-19 00:40:00 -0800",9,98,8.7
"5","2018-01-19 00:50:00 -0800",9,98,8.7
"5","2018-01-19 01:00:00 -0800",9,97.5,8.6
"5","2018-01-19 01:10:00 -0800",9,97.5,8.6
"5","2018-01-19 01:20:00 -0800",9,98,8.7
"5","2018-01-19 01:30:00 -0800",8.5,97.5,8.1
"5","2018-01-19 01:40:00 -0800",8.5,98.5,8.3
"5","2018-01-19 01:50:00 -0800",8.5,99,8.4
"5","2018-01-19 02:00:00 -0800",8.5,99,8.4
"5","2018-01-19 02:10:00 -0800",8,99,7.9
"5","2018-01-19 02:20:00 -0800",8,99.5,7.9
"5","2018-01-19 02:30:00 -0800",8,99,7.9
"5","2018-01-19 02:40:00 -0800",8,98.5,7.8
"5","2018-01-19 02:50:00 -0800",8,98.5,7.8
"5","2018-01-19 03:00:00 -0800",8,98.5,7.8
"5","2018-01-19 03:10:00 -0800",8,98.5,7.8
"5","2018-01-19 03:20:00 -0800",7.5,99,7.4
"5","2018-01-19 03:30:00 -0800",7.5,99.5,7.4
"5","2018-01-19 03:40:00 -0800",7.5,99.5,7.4
"5","2018-01-19 03:50:00 -0800",7.5,100,7.5
"5","2018-01-19 04:00:00 -0800",7.5,99.5,7.4
"5","2018-01-19 04:10:00 -0800",7.5,99.5,7.4
"5","2018-01-19 04:20:00 -0800",7.5,99.5,7.4
"5","2018-01-19 04:30:00 -0800",7.5,99.5,7.4
"5","2018-01-19 04:40:00 -0800",7,99.5,6.9
"5","2018-01-19 04:50:00 -0800",7,100,7
"5","2018-01-19 05:00:00 -0800",7,100,7
"5","2018-01-19 05:10:00 -0800",6.5,100.5,6.6
"5","2018-01-19 05:20:00 -0800",6.5,100.5,6.6
"5","2018-01-19 05:30:00 -0800",6.5,100,6.5
"5","2018-01-19 05:40:00 -0800",6.5,100.5,6.6
"5","2018-01-19 05:50:00 -0800",6.5,100.5,6.6
"5","2018-01-19 06:00:00 -0800",6.5,100,6.5
"5","2018-01-19 06:10:00 -0800",6.5,100,6.5
"5","2018-01-19 06:20:00 -0800",7,100,7
"5","2018-01-19 06:30:00 -0800",7,99.5,6.9
"5","2018-01-19 06:40:00 -0800",7,99.5,6.9
"5","2018-01-19 06:50:00 -0800",7,98.5,6.8
"5","2018-01-19 07:00:00 -0800",7,98.5,6.8
"5","2018-01-19 07:10:00 -0800",7,98.5,6.8
"5","2018-01-19 07:20:00 -0800",7,96.5,6.5
"5","2018-01-19 07:30:00 -0800",7,96.5,6.5
"5","2018-01-19 07:40:00 -0800",7,97,6.6
"5","2018-01-19 07:50:00 -0800",6.5,97.5,6.1
"5","2018-01-19 08:00:00 -0800",6,98,5.7
"5","2018-01-19 08:10:00 -0800",6.5,98,6.2
"5","2018-01-19 08:20:00 -0800",6,99,5.9
"5","2018-01-19 08:30:00 -0800",6,99.5,5.9
"5","2018-01-19 08:40:00 -0800",6.5,100,6.5
"5","2018-01-19 08:50:00 -0800",7,99.5,6.9
"5","2018-01-19 09:00:00 -0800",7.5,98,7.2
"5","2018-01-19 09:10:00 -0800",8,96.5,7.5
"5","2018-01-19 09:20:00 -0800",8.5,95.5,7.8
"5","2018-01-19 09:30:00 -0800",8.5,93.5,7.5
"5","2018-01-19 09:40:00 -0800",8.5,95,7.7
"5","2018-01-19 09:50:00 -0800",9,97.5,8.6
"5","2018-01-19 10:00:00 -0800",9,94,8.1
"5","2018-01-19 10:10:00 -0800",9,91,7.6
