Team,LichenID,Site,Substrate_type,Substrate_status,Ascomata,Experiment,Mass_mg_init-,Mass_mg_6weeks,Health
1,G1-11,9,shrub,living,0,infection,,,
1,G1-3,5,tree,dead,10,growth,118,127,1
1,G1-4,5,tree,dead,14,growth,121,127,2
1,G1-6,99,tree,living,2,growth,46,66,2
1,G1-7,112,tree,living,0,infection,,,
1,G1-8,112,tree,living,0,growth,171,169,2
1,G1-9,112,tree,living,3,growth control,66,65,1
2,G2-2,106,shrub,living,4,growth control,90,90,2
2,G2-3,106,shrub,living,3,growth,28,30,1
2,G2-4,47,tree,living,0,infection,,,
2,G2-5,47,tree,dead,9,growth,391,426,2
2,G2-7,74,tree,living,0,growth,50,62,1
2,G2-8,74,shrub,living,0,infection,,,
2,G2-9,18,tree,living,2,growth,47,56,2
3,G3-1,49,tree,dead,0,growth,49,52,1
3,G3-2,49,tree,dead,0,growth,64,69,1
3,G3-3,49,tree,living,0,growth control,34,32,1
3,G3-6,108,shrub,living,2,growth,174,187,2
3,G3-9,9,tree,living,0,growth,29,32,3
4,G4-1,51,shrub,dead,3,growth,277,60,3
4,G4-10,109,shrub,dead,0,infection,,,
4,G4-11,109,shrub,dead,0,infection,,,
4,G4-2,51,shrub,dead,6,growth,317,132,2
4,G4-4,43,tree,living,2,growth,587,178,3
4,G4-5,43,tree,living,0,growth control,247,36,1
4,G4-6,43,tree,living,1,growth,291,85,1
5,G5-1,52,tree,living,1,growth control,22,21,1
5,G5-2,61,tree,living,0,infection,,,
5,G5-3,61,tree,living,0,growth,56,65,2
5,G5-4,8,tree,living,3,growth,62,67,1
5,G5-7,8,tree,living,0,growth,143,57,2
5,G5-8,111,tree,living,0,infection,,,
