"Site","Biscogniauxia_mediterranea","Cladosporium_sp1","Coniochaeta_ligniaria","Coniochaetaceae_sp1","Coniochaetaceae_sp2","Daldinia_sp1","Fimetariella_sp1","Geopyxis_carbonaria","Lasiosphaeria_sp1","Nemania_serpens_gen1","Nemania_serpens_gen2","Nemania_serpens_gen3","Pezizomycetes_sp6","Pleosporales_sp1","Preussia_sp1","Pyronema_domesticum","Sarcosomataceae_sp1","Sarcosomataceae_sp1_gen2","Sarcosomataceae_sp1_gen3","Sarcosomataceae_sp1_gen4","Sordariales_sp2","Sordariomycetes_sp1_gen1","Sordariomycetes_sp6","Xylaria_sp1"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
