Read.ID,TeamID,EcoplateID,Plate,Day,DayNumber,Sample.ID,Pyruvic.Acid.Methyl.Ester,Tween.40,Tween.80,alpha.Cyclodextrin,Glycogen,D.Cellobiose,alpha.D.Lactose,beta.Methyl.D.Glucoside,D.Xylose,i.Erythritol,D.Mannitol,N.Acetyl.D.Glucosamine,D.Glucosaminic.Acid,Glucose.1.Phosphate,alpha.Glycerol.Phosphate,D.Galactonic.Acid.gamma.Lactone,D.Galacturonic.Acid,X2.Hydroxy.Benzoic.Acid,X4.Hydroxy.Benzoic.Acid,gamma.Hydroxybutyric.Acid,Itaconic.Acid,alpha.Ketobutyric.Acid,D.Malic.Acid,L.Arginine,L.Asparagine,L.Phenylalanine,L.Serine,L.Threonine,Glycyl.L.Glutamic.Acid,Phenylethyl.amine,Putrescine
Team-1_Plate-1_Day-0,W17-1,W17-1-E1,Plate-1,Day-0,0,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,0.044,NA,NA,NA,NA,NA,NA,NA,0.115,0.012,0.063,0.087,NA,NA,NA
Team-1_Plate-1_Day-0,W17-1,W17-1-E1,Plate-1,Day-0,0,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-0,W17-1,W17-1-E1,Plate-1,Day-0,0,Sample_3,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164,0.132,0.069,0.034,NA,NA,NA,NA
Team-1_Plate-1_Day-10,W17-1,W17-1-E1,Plate-1,Day-10,10,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA,NA,NA,NA,0.007,0.006,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-10,W17-1,W17-1-E1,Plate-1,Day-10,10,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-10,W17-1,W17-1-E1,Plate-1,Day-10,10,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-12,W17-1,W17-1-E1,Plate-1,Day-12,12,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA,0.012,0.006,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-12,W17-1,W17-1-E1,Plate-1,Day-12,12,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-12,W17-1,W17-1-E1,Plate-1,Day-12,12,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-6,W17-1,W17-1-E1,Plate-1,Day-6,6,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
